[10:20:18.265] [ERROR] - com.github.wasiqb.coteafs.appium.error.DeviceElementNameNotFoundError: DeviceElement with name [GetStarted] not found. (ErrorUtils:66) 
[10:20:18.266] [ERROR] - 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) (ErrorUtils:69) 
[10:20:18.269] [ERROR] - 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) (ErrorUtils:69) 
[10:20:18.269] [ERROR] - 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) (ErrorUtils:69) 
[10:20:18.270] [ERROR] - 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) (ErrorUtils:69) 
[10:20:18.270] [ERROR] - 	at java.lang.reflect.Method.invoke(Method.java:498) (ErrorUtils:69) 
[10:20:18.270] [ERROR] - 	at org.testng.internal.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:108) (ErrorUtils:69) 
[10:20:18.270] [ERROR] - 	at org.testng.internal.Invoker.invokeMethod(Invoker.java:661) (ErrorUtils:69) 
[10:20:18.271] [ERROR] - 	at org.testng.internal.Invoker.invokeTestMethod(Invoker.java:869) (ErrorUtils:69) 
[10:20:18.271] [ERROR] - 	at org.testng.internal.Invoker.invokeTestMethods(Invoker.java:1193) (ErrorUtils:69) 
[10:20:18.271] [ERROR] - 	at org.testng.internal.TestMethodWorker.invokeTestMethods(TestMethodWorker.java:126) (ErrorUtils:69) 
[10:20:18.272] [ERROR] - 	at org.testng.internal.TestMethodWorker.run(TestMethodWorker.java:109) (ErrorUtils:69) 
[10:20:18.272] [ERROR] - 	at org.testng.TestRunner.privateRun(TestRunner.java:744) (ErrorUtils:69) 
[10:20:18.272] [ERROR] - 	at org.testng.TestRunner.run(TestRunner.java:602) (ErrorUtils:69) 
[10:20:18.272] [ERROR] - 	at org.testng.SuiteRunner.runTest(SuiteRunner.java:380) (ErrorUtils:69) 
[10:20:18.273] [ERROR] - 	at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:375) (ErrorUtils:69) 
[10:20:18.273] [ERROR] - 	at org.testng.SuiteRunner.privateRun(SuiteRunner.java:340) (ErrorUtils:69) 
[10:20:18.273] [ERROR] - 	at org.testng.SuiteRunner.run(SuiteRunner.java:289) (ErrorUtils:69) 
[10:20:18.273] [ERROR] - 	at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:52) (ErrorUtils:69) 
[10:20:18.274] [ERROR] - 	at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:86) (ErrorUtils:69) 
[10:20:18.274] [ERROR] - 	at org.testng.TestNG.runSuitesSequentially(TestNG.java:1301) (ErrorUtils:69) 
[10:20:18.274] [ERROR] - 	at org.testng.TestNG.runSuitesLocally(TestNG.java:1226) (ErrorUtils:69) 
[10:20:18.274] [ERROR] - 	at org.testng.TestNG.runSuites(TestNG.java:1144) (ErrorUtils:69) 
[10:20:18.275] [ERROR] - 	at org.testng.TestNG.run(TestNG.java:1115) (ErrorUtils:69) 
[10:20:18.275] [ERROR] - 	at org.apache.maven.surefire.testng.TestNGExecutor.run(TestNGExecutor.java:178) (ErrorUtils:69) 
[10:20:18.275] [ERROR] - 	at org.apache.maven.surefire.testng.TestNGXmlTestSuite.execute(TestNGXmlTestSuite.java:92) (ErrorUtils:69) 
[10:20:18.275] [ERROR] - 	at org.apache.maven.surefire.testng.TestNGProvider.invoke(TestNGProvider.java:96) (ErrorUtils:69) 
[10:20:18.276] [ERROR] - 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) (ErrorUtils:69) 
[10:20:18.276] [ERROR] - 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) (ErrorUtils:69) 
[10:20:18.276] [ERROR] - 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) (ErrorUtils:69) 
[10:20:18.276] [ERROR] - 	at java.lang.reflect.Method.invoke(Method.java:498) (ErrorUtils:69) 
[10:20:18.277] [ERROR] - 	at org.apache.maven.surefire.util.ReflectionUtils.invokeMethodWithArray2(ReflectionUtils.java:208) (ErrorUtils:69) 
[10:20:18.277] [ERROR] - 	at org.apache.maven.surefire.booter.ProviderFactory$ProviderProxy.invoke(ProviderFactory.java:159) (ErrorUtils:69) 
[10:20:18.277] [ERROR] - 	at org.apache.maven.surefire.booter.ProviderFactory.invokeProvider(ProviderFactory.java:87) (ErrorUtils:69) 
[10:20:18.277] [ERROR] - 	at org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess(ForkedBooter.java:153) (ErrorUtils:69) 
[10:20:18.278] [ERROR] - 	at org.apache.maven.surefire.booter.ForkedBooter.main(ForkedBooter.java:95) (ErrorUtils:69) 
